offer_price,rating,mrp,isBestSeller,accessories,clothing,electronics,misc,musical_instrument
168.0,4.7,226.8,1,0,0,0,1,0
67.14,4.6,87.2,1,0,0,1,0,0
79.99,4.6,103.9,1,0,0,1,0,0
29.99,4.4,35.9,0,0,0,1,0,0
69.99,4.4,90.9,0,0,0,1,0,0
49.99,4.4,59.9,0,0,0,1,0,0
29.74,4.6,35.6,0,0,0,1,0,0
19.99,3.7,27.9,0,0,0,1,0,0
12.99,4.4,18.1,0,0,0,1,0,0
75.99,4.5,98.7,1,0,0,1,0,0
9.95,3.4,12.4,0,0,0,1,0,0
29.0,4.3,34.8,0,0,0,1,0,0
59.99,4.4,71.9,0,0,0,1,0,0
29.0,4.3,34.8,0,0,0,1,0,0
29.95,4.6,35.9,0,0,0,1,0,0
119.95,2.0,161.9,0,0,0,1,0,0
24.99,4.3,34.9,0,0,0,1,0,0
24.97,4.2,34.9,0,0,0,1,0,0
39.99,4.8,47.9,0,0,0,1,0,0
99.98,4.3,129.9,0,0,0,1,0,0
35.99,4.3,43.1,0,0,0,1,0,0
49.99,3.7,59.9,0,0,0,1,0,0
35.41,4.3,42.4,0,0,0,1,0,0
92.09,3.9,119.7,0,0,0,1,0,0
49.99,4.4,59.9,0,0,0,1,0,0
69.95,4.3,90.9,0,0,0,1,0,0
28.99,3.7,34.7,0,0,0,1,0,0
19.98,4.3,27.9,0,0,0,1,0,0
178.99,4.2,241.6,0,0,0,1,0,0
249.95,4.5,337.4,1,0,0,1,0,0
24.99,4.3,34.9,0,0,0,1,0,0
29.0,3.4,34.8,0,0,0,1,0,0
10.99,4.3,15.3,0,0,0,1,0,0
29.0,4.0,34.8,0,0,0,1,0,0
37.99,4.5,45.5,0,0,0,1,0,0
18.89,4.5,26.4,0,0,0,0,1,0
38.99,4.0,46.7,0,0,0,1,0,0
29.99,4.6,35.9,0,0,0,1,0,0
69.99,4.5,90.9,1,0,0,1,0,0
37.99,4.5,45.5,0,0,0,1,0,0
23.99,4.3,33.5,0,0,0,1,0,0
69.0,4.1,89.7,0,0,0,1,0,0
31.99,3.8,38.3,0,0,0,1,0,0
19.99,4.3,27.9,0,0,0,1,0,0
46.48,4.4,55.7,0,0,0,1,0,0
89.99,3.7,116.9,0,0,0,1,0,0
22.48,4.5,31.4,0,0,0,1,0,0
28.99,4.3,34.7,0,0,0,1,0,0
332.0,4.3,448.2,0,0,0,1,0,0
23.4,4.6,32.7,0,0,0,1,0,0
15.82,4.4,22.1,0,0,0,0,1,0
14.99,3.4,20.9,0,0,0,1,0,0
42.99,4.1,51.5,0,0,0,0,1,0
63.99,3.8,83.1,0,0,0,1,0,0
18.89,4.5,26.4,0,0,0,1,0,0
24.99,4.2,34.9,0,0,0,1,0,0
44.99,4.7,53.9,0,0,0,1,0,0
25.49,4.2,30.5,0,0,0,1,0,0
27.98,4.1,33.5,0,0,0,1,0,0
24.97,4.7,34.9,0,0,0,1,0,0
59.99,4.3,71.9,0,0,0,1,0,0
40.99,4.0,49.1,0,0,0,1,0,0
29.99,4.6,35.9,0,0,0,1,0,0
82.26,4.3,106.9,0,0,0,1,0,0
14.99,4.1,20.9,0,0,0,1,0,0
19.99,4.6,27.9,0,0,0,1,0,0
39.99,4.4,47.9,0,0,0,0,1,0
69.9,4.2,90.8,0,0,0,1,0,0
59.99,4.7,71.9,0,0,0,1,0,0
79.99,4.1,103.9,0,0,0,1,0,0
29.99,3.3,35.9,0,0,0,1,0,0
89.99,4.2,116.9,0,0,0,1,0,0
56.99,4.1,68.3,0,0,0,1,0,0
39.99,3.8,47.9,0,0,0,1,0,0
39.9,4.2,47.8,0,0,0,1,0,0
29.99,4.4,35.9,0,0,0,1,0,0
16.99,4.0,23.7,0,0,0,1,0,0
79.95,4.3,103.9,0,0,0,1,0,0
18.99,4.3,26.5,0,0,0,1,0,0
29.0,4.3,34.8,0,0,0,1,0,0
50.0,4.3,60.0,0,0,0,1,0,0
30.99,4.3,37.1,0,0,0,1,0,0
34.99,4.4,41.9,0,0,0,1,0,0
49.99,5.0,59.9,0,0,0,1,0,0
71.95,3.9,93.5,0,0,0,1,0,0
18.89,4.5,26.4,0,0,0,1,0,0
37.99,4.5,45.5,0,0,0,1,0,0
25.99,4.2,31.1,0,0,0,1,0,0
34.99,5.0,41.9,0,0,0,1,0,0
15.99,4.2,22.3,0,0,0,1,0,0
19.99,4.4,27.9,0,0,0,1,0,0
44.09,4.3,52.9,0,0,0,1,0,0
10.0,4.3,14.0,0,0,0,1,0,0
849.95,4.3,1147.4,0,0,0,1,0,0
29.0,3.3,34.8,0,0,0,1,0,0
19.99,4.5,27.9,0,0,0,1,0,0
166.42,4.0,224.6,0,0,0,1,0,0
79.99,4.2,103.9,0,0,0,1,0,0
35.99,4.4,43.1,0,0,0,1,0,0
99.97,5.0,129.9,1,0,0,1,0,0
49.99,3.7,59.9,0,0,0,1,0,0
79.99,4.4,103.9,0,0,0,1,0,0
29.99,4.1,35.9,0,0,0,1,0,0
44.59,4.8,53.5,0,0,0,1,0,0
66.17,4.6,86.0,1,0,0,1,0,0
31.69,4.4,38.0,0,0,0,1,0,0
35.98,4.6,43.1,0,0,0,1,0,0
29.0,4.3,34.8,0,0,0,1,0,0
98.9,4.6,128.5,1,0,0,1,0,0
60.53,3.9,78.6,0,0,0,1,0,0
29.0,4.6,34.8,0,0,0,1,0,0
18.99,4.3,26.5,0,0,0,1,0,0
49.9,4.7,59.8,0,0,0,1,0,0
20.99,4.0,29.3,0,0,0,1,0,0
10.99,4.8,15.3,0,0,0,1,0,0
26.64,4.5,31.9,0,0,0,0,1,0
156.99,4.1,211.9,0,0,0,1,0,0
39.5,3.9,47.4,0,0,0,1,0,0
85.99,4.6,111.7,1,0,0,1,0,0
38.99,3.9,46.7,0,0,0,1,0,0
18.89,4.5,26.4,0,0,0,1,0,0
32.46,4.2,38.9,0,0,0,1,0,0
539.0,4.7,727.6,1,0,0,0,1,0
25.99,4.5,31.1,0,0,0,1,0,0
105.99,4.7,143.0,1,0,0,1,0,0
29.0,4.5,34.8,0,0,0,0,1,0
19.99,4.5,27.9,0,0,0,1,0,0
349.0,4.6,471.1,1,0,0,1,0,0
29.0,4.3,34.8,0,0,0,1,0,0
29.0,4.8,34.8,0,0,0,1,0,0
42.99,4.6,51.5,0,0,0,1,0,0
11.99,4.3,16.7,0,0,0,1,0,0
29.0,4.0,34.8,0,0,0,0,1,0
63.75,4.4,82.8,0,0,0,1,0,0
129.0,4.1,174.1,0,0,0,1,0,0
29.99,4.6,35.9,0,0,0,1,0,0
24.99,4.3,34.9,0,0,0,1,0,0
29.99,5.0,35.9,0,0,0,1,0,0
129.0,3.8,174.1,0,0,0,1,0,0
42.28,3.5,50.7,0,0,0,1,0,0
13.86,3.4,19.4,0,0,0,1,0,0
25.99,4.5,31.1,0,0,0,0,1,0
40.47,4.3,48.5,0,0,0,1,0,0
29.0,3.8,34.8,0,0,0,1,0,0
70.82,4.4,92.0,0,0,0,1,0,0
22.99,5.0,32.1,0,0,0,1,0,0
24.99,4.1,34.9,0,0,0,1,0,0
36.65,3.9,43.9,0,0,0,1,0,0
29.0,4.2,34.8,0,0,0,1,0,0
25.99,4.7,31.1,0,0,0,1,0,0
25.99,4.3,31.1,0,0,0,1,0,0
39.99,4.3,47.9,0,0,0,1,0,0
64.99,4.2,84.4,0,0,0,1,0,0
87.99,4.2,114.3,0,0,0,1,0,0
15.99,4.4,22.3,0,0,0,1,0,0
249.99,4.3,337.4,0,0,0,1,0,0
299.95,4.5,404.9,1,0,0,1,0,0
29.0,4.7,34.8,0,0,0,1,0,0
234.99,4.8,317.2,1,0,0,1,0,0
44.03,4.6,52.8,0,0,0,1,0,0
45.99,4.0,55.1,0,0,0,1,0,0
349.99,4.6,472.4,1,0,0,1,0,0
39.99,4.3,47.9,0,0,0,1,0,0
634.97,4.4,857.2,0,0,0,0,1,0
35.99,4.2,43.1,0,0,0,1,0,0
799.0,4.5,1078.6,1,0,0,1,0,0
18.89,4.5,26.4,0,0,0,0,1,0
37.99,4.5,45.5,0,0,0,1,0,0
40.79,4.5,48.9,0,0,0,1,0,0
49.99,3.9,59.9,0,0,0,1,0,0
89.97,4.6,116.9,1,0,0,1,0,0
34.99,4.5,41.9,0,0,0,1,0,0
74.99,4.0,97.4,0,0,0,1,0,0
24.99,4.7,34.9,0,0,0,1,0,0
169.99,4.0,229.4,0,0,0,1,0,0
6.99,3.9,8.7,0,0,0,1,0,0
14.99,3.8,20.9,0,0,0,1,0,0
29.0,4.6,34.8,0,0,0,1,0,0
29.0,4.4,34.8,0,0,0,1,0,0
29.0,4.5,34.8,0,0,0,0,1,0
29.0,4.6,34.8,0,0,0,0,1,0
36.98,4.2,44.3,0,0,0,1,0,0
39.99,4.6,47.9,0,0,0,1,0,0
54.99,4.2,65.9,0,0,0,1,0,0
19.99,4.5,27.9,0,0,0,1,0,0
37.99,4.5,45.5,0,0,0,1,0,0
34.88,4.3,41.8,0,0,0,1,0,0
59.99,4.4,71.9,0,0,0,1,0,0
10.99,4.1,15.3,0,0,0,1,0,0
18.49,4.3,25.8,0,0,0,1,0,0
32.99,3.7,39.5,0,0,0,0,1,0
32.99,4.2,39.5,0,0,0,1,0,0
29.99,4.3,35.9,0,0,0,1,0,0
23.6,4.6,33.0,0,0,0,0,1,0
39.99,3.8,47.9,0,0,0,1,0,0
11.99,4.1,16.7,0,0,0,1,0,0
21.64,4.3,30.2,0,0,0,1,0,0
39.99,4.3,47.9,0,0,0,1,0,0
32.99,4.3,39.5,0,0,0,1,0,0
149.99,4.5,202.4,1,0,0,1,0,0
25.99,2.6,31.1,0,0,0,1,0,0
34.99,4.6,41.9,0,0,0,1,0,0
19.99,4.5,27.9,0,0,0,1,0,0
32.99,4.4,39.5,0,0,0,1,0,0
56.99,4.1,68.3,0,0,0,1,0,0
19.99,4.4,27.9,0,0,0,1,0,0
9.99,3.8,12.4,0,0,0,1,0,0
299.0,4.8,403.6,1,0,0,1,0,0
29.0,3.6,34.8,0,0,0,1,0,0
27.99,4.6,33.5,0,0,0,1,0,0
99.99,4.9,129.9,1,0,0,1,0,0
29.0,4.3,34.8,0,0,0,1,0,0
88.99,4.3,115.6,0,0,0,1,0,0
100.85,4.3,136.1,0,0,0,1,0,0
19.9,4.2,27.8,0,0,0,1,0,0
40.47,4.3,48.5,0,0,0,1,0,0
96.99,5.0,126.0,1,0,0,1,0,0
49.98,4.4,59.9,0,0,0,1,0,0
99.99,5.0,129.9,1,0,0,1,0,0
37.99,4.5,45.5,0,0,0,1,0,0
54.99,4.0,65.9,0,0,0,1,0,0
29.0,3.5,34.8,0,0,0,1,0,0
19.99,3.9,27.9,0,0,0,1,0,0
29.0,4.3,34.8,0,0,0,1,0,0
47.95,2.0,57.5,0,0,0,1,0,0
79.99,4.0,103.9,0,0,0,1,0,0
199.99,3.4,269.9,0,0,0,1,0,0
39.99,5.0,47.9,0,0,0,1,0,0
29.0,4.5,34.8,0,0,0,1,0,0
16.49,2.7,23.0,0,0,0,1,0,0
29.95,4.3,35.9,0,0,0,1,0,0
14.99,4.6,20.9,0,0,0,1,0,0
23.66,5.0,33.1,0,0,0,1,0,0
82.99,4.6,107.8,1,0,0,1,0,0
35.99,4.5,43.1,0,0,0,1,0,0
51.99,3.3,62.3,0,0,0,1,0,0
69.99,4.6,90.9,1,0,0,1,0,0
36.99,4.4,44.3,0,0,0,1,0,0
69.99,5.0,90.9,1,0,0,1,0,0
59.98,4.3,71.9,0,0,0,1,0,0
14.4,4.3,20.1,0,0,0,0,1,0
69.99,4.3,90.9,0,0,0,1,0,0
38.99,4.0,46.7,0,0,0,1,0,0
230.0,4.5,310.5,1,0,0,1,0,0
29.0,5.0,34.8,0,0,0,1,0,0
89.0,4.7,115.7,1,0,0,1,0,0
29.0,4.6,34.8,0,0,0,1,0,0
11.99,3.5,16.7,0,0,0,1,0,0
20.99,4.5,29.3,0,0,0,1,0,0
11.99,4.7,16.7,0,0,0,0,1,0
35.99,4.6,43.1,0,0,0,1,0,0
29.99,4.3,35.9,0,0,0,1,0,0
89.0,4.1,115.7,0,0,0,1,0,0
13.99,4.6,19.5,0,0,0,1,0,0
199.99,4.5,269.9,1,0,0,0,1,0
34.99,4.6,41.9,0,0,0,1,0,0
75.62,3.3,98.3,0,0,0,1,0,0
99.99,4.1,129.9,0,0,0,1,0,0
26.64,4.6,31.9,0,0,0,0,1,0
29.0,4.6,34.8,0,0,0,1,0,0
25.99,4.6,31.1,0,0,0,1,0,0
224.88,4.5,303.5,1,0,0,1,0,0
9.99,2.2,12.4,0,0,0,1,0,0
29.0,4.4,34.8,0,0,0,1,0,0
10.88,4.6,15.2,0,0,0,1,0,0
129.99,4.4,175.4,0,0,0,0,1,0
31.69,4.3,38.0,0,0,0,1,0,0
228.0,3.0,307.8,0,0,0,1,0,0
29.95,4.1,35.9,0,0,0,1,0,0
73.79,4.6,95.9,1,0,0,1,0,0
69.99,5.0,90.9,1,0,0,1,0,0
23.99,4.2,33.5,0,0,0,1,0,0
29.0,4.8,34.8,0,0,0,1,0,0
20.99,4.0,29.3,0,0,0,1,0,0
39.99,4.6,47.9,0,0,0,1,0,0
16.99,4.3,23.7,0,0,0,1,0,0
11.99,4.3,16.7,0,0,0,1,0,0
96.09,4.4,124.9,0,0,0,1,0,0
39.99,4.4,47.9,0,0,0,1,0,0
29.0,4.3,34.8,0,0,0,1,0,0
42.98,4.5,51.5,0,0,0,1,0,0
50.0,4.3,60.0,0,0,0,1,0,0
19.0,4.7,26.5,0,0,0,1,0,0
